Date,Bid,Descript
2014/4/1,000063.SZ,安信 证券 中兴通讯 创新 与 集约 并重 公司 研究 
2014/4/1,000063.SZ,G 概念 表现 活跃 中兴通讯 领涨 
2014/4/2,000063.SZ,中兴通讯 铁路 宽带 解决方案 亮相 UICERTMS 大会 
2014/4/3,000063.SZ,广发 证券 中兴通讯 年报 点评 业绩 符合 预期 年 业绩 高 增长 可 期 公司 研究 
2014/4/3,000063.SZ,联讯 证券 中兴通讯 年报 点评 业绩 持续 复苏 关注 终端 业务 发展 公司 研究 
2014/4/4,000063.SZ,中兴通讯 丢掉 包袱 轻装上阵 年 业绩 向上 弹性 大 
2014/4/4,000063.SZ,国泰君安 国际 上调 中兴通讯 投资 评级 至 买入 
2014/4/4,000063.SZ,中兴通讯 子公司 与 中 移动 签署 移动 转售 合作 协议 
2014/4/5,000063.SZ,中兴通讯 结构性 扭亏 不 被 看好 G 时代 翻身 不易 
2014/4/5,000063.SZ,中兴 手机 G 削减 运营商 定制 机型 试水 手机 直销 
2014/4/6,000063.SZ,中兴 手机 G 削减 运营商 定制 机型 试水 手机 直销 
2014/4/8,000063.SZ,中兴通讯 瞄准 肯尼亚 ICT 市场 或 建立 合作 
2014/4/8,000063.SZ,中兴通讯 年 靠 营业 外 收入 扭亏 主营 仍亏 亿 
2014/4/8,000063.SZ,结构性 扭亏 中兴通讯 G 时代 翻身 不易 
2014/4/9,000063.SZ,中兴通讯 HK 正式 发布 G 红牛 V 手机 
2014/4/9,000063.SZ,中兴通讯 正式 发布 G 红牛 V 手机 
2014/4/9,000063.SZ,中兴通讯 正式 发布 千元 G 红牛 V 手机 
2014/4/10,000063.SZ,业绩 继续 改善 中兴 预计 Q 净利润 同比 增长 超 
2014/4/10,000063.SZ,中兴通讯 料 一季度 净利润 亿至 亿 
2014/4/10,000063.SZ,中兴通讯 料 一季度 净利 同比 增至 
2014/4/10,000063.SZ,中兴通讯 盈喜料 首季 多 赚 最 多倍 
2014/4/10,000063.SZ,中兴 HK 料 首季 净利润 按年 升倍 
2014/4/10,000063.SZ,中兴通讯 预计 年 第一季度 净利润 同比 增 
2014/4/10,000063.SZ,张赛 娥 点评 中国 神华 和 中兴通讯 
2014/4/11,000063.SZ,中兴通讯 预计 一季度 净利润 超 
2014/4/11,000063.SZ,中兴通讯 助力 连云港 打造 智慧 城 
2014/4/11,000063.SZ,中信证券 中兴通讯 业绩 反转 确认 长期 价值 低估 
2014/4/11,000063.SZ,中兴通讯 年 季度 预告 点评 业绩 持续 改善 LTE 龙头 地位 显现 
2014/4/11,000063.SZ,安信 证券 中兴通讯 复苏 超 预期 G 龙头 价值 被 低估 公司 研究 
2014/4/11,000063.SZ,长江 证券 中兴通讯 盈利 水平 大幅提高 分享 行业 高 增长 盛宴 公司 研究 
2014/4/11,000063.SZ,G 概念股 午后 走强 中兴通讯 涨超 
2014/4/11,000063.SZ,中兴通讯 发盈喜 股价 逆市 升 
2014/4/11,000063.SZ,中兴通讯 一季度 业绩 超 预期 净利润 预增倍 
2014/4/11,000063.SZ,中兴通讯 年 第一季度 业绩 预告 
2014/4/11,000063.SZ,中兴通讯 中电远 达 西南 证券 一季度 业绩 大幅 预增 
2014/4/14,000063.SZ,国泰君安 上调 中兴通讯 评级 至 增持 
2014/4/14,000063.SZ,国金 证券 中兴通讯 g 设备 确保 业绩 成长 期待 手机 弯道 超车 公司 研究 
2014/4/14,000063.SZ,中信 建投 证券 中兴通讯 Q 业绩 大幅 预增 年 业绩 高 增长 可 期 公司 研究 
2014/4/14,000063.SZ,国泰君安 证券 中兴通讯 从 困顿 反转 到 再次 腾飞 公司 研究 
2014/4/14,000063.SZ,中兴通讯 重回 快速 发展 通道 
2014/4/14,000063.SZ,中兴通讯 订单 前景 乐观 三网 融合 试点 扩大 增 需求 
2014/4/14,000063.SZ,中兴通讯 摆脱 巨亏 盈利 亿 华谊 兄弟 现金流 飘忽 
2014/4/17,000063.SZ,中兴通讯 HK 首季 赚 人民币 按年 增倍 
2014/4/17,000063.SZ,中兴通讯 一季度 净利 增倍 
2014/4/17,000063.SZ,公司业绩 中兴 HK 首季 纯利 增逾倍 至 亿人币 
2014/4/17,000063.SZ,中兴通讯 年 第一季度 净利润 同比 增 
2014/4/17,000063.SZ,IPV 设备 市场 爆发 在 即星 网锐捷 中兴通讯 等 厂商 将 受益 
2014/4/17,000063.SZ,华泰 证券 中兴通讯 卸 包袱 迎高增 重申 买入 评级 公司 研究 
2014/4/18,000063.SZ,中兴通讯 资本 开支 加速 预示 业绩 持续 改善 
2014/4/18,000063.SZ,华泰 证券 中兴通讯 预期 中 报 持续 高增 再次 重申 买入 公司 研究 
2014/4/18,000063.SZ,招商 证券 中兴通讯 业绩 高 增长 延续 价值 仍 被 低估 公司 研究 
2014/4/18,000063.SZ,长江 证券 中兴通讯 毛利率 持续 回升 业绩 持续 高 增长 公司 研究 
2014/4/18,000063.SZ,中兴通讯 一 季报 点评 营收 恢复 增长 平台 价值 被 低估 
2014/4/18,000063.SZ,安信 证券 中兴通讯 营收 恢复 增长 平台 价值 被 低估 
2014/4/18,000063.SZ,中兴通讯 上半年 业绩 预增 约 倍 
2014/4/18,000063.SZ,中兴通讯 首季 盈利 增 两倍 
2014/4/18,000063.SZ,中兴通讯 首季 盈利 增 两倍 预计 上半年 净利 最高 增长 
2014/4/19,000063.SZ,中兴通讯 业绩 大幅 增长 复苏 势头 强劲 
2014/4/20,000063.SZ,中兴 三星 能 做到 的 我们 也 可以 做到 
2014/4/21,000063.SZ,海通 证券 中兴通讯 运营商 各项 招标 有望 落地 
2014/4/21,000063.SZ,中国 国航 发布 G 地空 宽带 中兴通讯 全程 技术 保障 
2014/4/21,000063.SZ,中兴通讯 业绩 大幅 增长 复苏 势头 强劲 
2014/4/22,000063.SZ,中兴通讯 首季 按年 增倍 股价 升 
2014/4/22,000063.SZ,安信 衡昆 中兴通讯 G 龙头 价值 低估 
2014/4/22,000063.SZ,银河证券 中兴通讯 季度 经营 数据 全面 向 好 终端 业务 将 受益 国内 GG 切换 加速 公司 研究 
2014/4/22,000063.SZ,瑞银 证券 中兴通讯 收入 强势 反弹 公司 研究 
2014/4/22,000063.SZ,中信证券 通信 行业 国企改革 带来 产业链 机会 
2014/4/23,000063.SZ,大 行 报告 汇丰 升 中兴 HK 目标价 至元 评级 中性 
2014/4/23,000063.SZ,大 行 报告 高盛 升 中兴 HK 目标价 至元 评级 中性 
2014/4/23,000063.SZ,海通 证券 中兴通讯 营收 毛利率 双 恢复 公司 步入 增长 快车道 公司 研究 
2014/4/23,000063.SZ,中兴通讯 专利申请 位列 全球 第二 公司 称不求 数量 求 质量 
2014/4/24,000063.SZ,辉立 证券 中兴通讯 G 业务 贡献 将 明显 增长 
2014/4/24,000063.SZ,中兴通讯 五机 连发 被 指 疯狂 机海 战术 盈利 存疑 
2014/4/24,000063.SZ,银联 携手 交行 及 中兴 推 移动 支付 迷你 IC卡 广东 率先 启动 试点 
2014/4/25,000063.SZ,中兴通讯 知识产权 积累 显示 中国 技术 自信 
2014/4/26,000063.SZ,中兴通讯 知识产权 是 最 核心 资产 
2014/4/26,000063.SZ,中兴 G 挑战 三星 提前 备战 G 专利申请 全球 第二 
2014/4/28,000063.SZ,中兴通讯 以 自主 创新 把握 G 时代 市场 机遇 
2014/4/28,000063.SZ,国泰君安 中兴通讯 逐步 抢占 专利 制高点 
2014/4/28,000063.SZ,中兴通讯 专利申请 全球 第二 知识产权 凸显 价值 
2014/4/28,000063.SZ,中兴通讯 知识产权 战略 成就 G 时代 领跑者 
2014/4/28,000063.SZ,中兴 专利申请 全球 第二 G 挑战 三星 备战 G 
2014/4/28,000063.SZ,中金公司 通信 行业 偏好 两类 厂商 
2014/4/29,000063.SZ,预约 量 破 百万 中兴 星星 号 发售 
2014/4/30,000063.SZ,中兴通讯 助阵 杰出 工程师 奖 全力 激活 创新 基因 
2014/4/30,000063.SZ,信 达 国际 建议 趁低 吸纳 中兴通讯 
2014/5/2,000063.SZ,中兴 HK 目前 并 无 参与 通信 铁塔 设施 建设 相关 业务 
2014/5/4,000063.SZ,中兴 华为 专利申请 居 世界 前 三 国产手机 创新 跨 知识产权 门槛 
2014/5/7,000063.SZ,中兴 HK 夺 柬埔寨 电讯 商 GGG 项目 
2014/5/8,000063.SZ,中兴通讯 实现 超 GOFDM 信号 实时 相干光 检测 
2014/5/9,000063.SZ,中兴通讯 召开 年度 股东大会 的 提示 
2014/5/14,000063.SZ,日本 光伏 电站 向 华为 及 中兴 HK 采购 核心 设备 
2014/5/16,000063.SZ,谢清海 减持 中兴通讯 万股 套现 万 港币 
2014/5/16,000063.SZ,中兴 扭亏 光环 背后 有 玄机 
2014/5/17,000063.SZ,中兴 扭亏 光环 背后 有 玄机 占据 创投 高地 丧失 主营业务 
2014/5/17,000063.SZ,中兴 跨境 并购 样本 不能 只收 一个 壳 
2014/5/18,000063.SZ,中兴 跨境 并购 样本 不能 只收 一个 壳 
2014/5/19,000063.SZ,BNPParibasJerseyNomineeCompany 减持 中兴通讯 万股 套现 万 港币 
2014/5/19,000063.SZ,中兴 跨境 并购 样本 不能 只收 一个 壳 
2014/5/20,000063.SZ,中兴通讯 未来 中国 G 投资 量 有望 超过 G 
2014/5/21,000063.SZ,顶级 运营商 现身 中兴通讯 参展 SDN 大会 
2014/5/21,000063.SZ,中兴通讯 融资 净 偿还 万元 
2014/5/21,000063.SZ,中信证券 营 改增 助推 通信 行业 长远 发展 
2014/5/23,000063.SZ,中金公司 科技 行业 建议 关注 中兴通讯 和 三维 通信 
2014/5/24,000063.SZ,中兴通讯 双 寡头 格局 确立 辉映 海外 冲前 三 征程 
2014/5/26,000063.SZ,中兴通讯 中标 中 移动 国际 信息港 配套工程 
2014/5/26,000063.SZ,中兴通讯 中标 中 移动 国际 信息港 配套工程 
