Date,Bid,Descript
2018/7/11,000651.SZ,推荐 评级 家电行业 周报 家电 个股 估值 处 低位 配置 价值 凸显 
2018/7/12,000651.SZ,格力 今日 头条 盘点 
2018/7/12,000651.SZ,格力 手机 官网 销量 超 万台 为什么 卖不出去 
2018/7/12,000651.SZ,南京 新 会客厅 迎来 格力 超级 工程 之选 
2018/7/12,000651.SZ,年 上半年 发明专利 授权量 排名 发布 格力 成 唯一 进入 前十名 的 家电企业 
2018/7/13,000651.SZ,董明珠 一句 话 暴露 了 格力 手机 还 没上 路子 这个 软肋 
2018/7/15,000651.SZ,为什么 格力 的 董明珠 和 联想 的 杨元庆 年薪 会 相差 倍 
2018/7/16,000651.SZ,海立 股份 大 股东 亿 迎战 与 格力电器 博弈 刚刚开始 
2018/7/16,000651.SZ,推荐 评级 家电行业 周报 中 美 贸易 摩擦 再 升温 继续 看好 家电 板块 配置 机会 
2018/7/17,000651.SZ,日媒 发布 全球 家用空调 市场份额 调查 格力 位居 榜首 
2018/7/17,000651.SZ,强于 大 市 评级 家电行业 周报 华帝成 本届 世界杯 营销 赛 最大 赢家 
2018/7/17,000651.SZ,优于 大 市 评级 家电行业 数据库 
2018/7/18,000651.SZ,空调 安装工 被 强卖 格力 手机 
2018/7/19,000651.SZ,获选 工信部 绿色 制造 项目 格力 掀起 空调 领域 绿色革命 
2018/7/19,000651.SZ,格力电器 股东大会 董明珠 的 布局 揭开 谜底 
2018/7/19,000651.SZ,天风 家电 产业 在线 月 空调 行业 高 景气 度 持续 旺季 零售 需 持续 观察 
2018/7/20,000651.SZ,格力 中央空调 迟迟 无人 安装 上门 一看 商家 已经 停业 
2018/7/22,000651.SZ,格力 董明珠 造车 梦 破碎 南京 银隆 被 查封 
2018/7/23,000651.SZ,海立 股份 股权 之争 火药味 浓 格力 关键 一票 有 悬念 
2018/7/23,000651.SZ,买入 评级 家电行业 研究 周报 小米 互联网 空调 即将 发布 我们 应该 关注 什么 
2018/7/23,000651.SZ,家电 及 相关 行业动态 空调 销售 罗生门 月 上旬 空调 零售 受 天气 负面影响 
2018/7/23,000651.SZ,推荐 评级 家电行业 周报 月 空调 销售 超 预期 继续 看好 家电 板块 配置 机会 
2018/7/23,000651.SZ,家电行业 行业 周报 中 报 预览 弱 周期 下 家电 配置 价值 还 在 不 在 
2018/7/23,000651.SZ,推荐 评级 家电行业 动态 报告 月 家电 零售 数据 向 好 空调 销售 超 预期 
2018/7/24,000651.SZ,米家 空调 产品 本身 很 一般 但 格力 们 需 警惕 小米 IoT 生态 链 
2018/7/24,000651.SZ,看好 评级 Q 家电 板块 基金 重仓 分析 持续 超配 
2018/7/24,000651.SZ,强于 大 市 评级 家用电器 行业 中期 投资 策略 寻找 真正 种树 的 家电企业 
2018/7/24,000651.SZ,强于 大 市 评级 家电行业 周报 空调 内销 强劲 增长 线下 龙 头发 力 高端 市场 
2018/7/24,000651.SZ,小米 互联网 空调 上线 它 干 得 过 传统 家电 品牌 么 
2018/7/24,000651.SZ,家电行业 周报 月 空调 内销 依旧 维持 较 快 增长 冷年 有望 靓丽 收官 
2018/7/25,000651.SZ,格力电器 行业 维持 较 高 景气 公司 经营 表现 优异 
2018/7/25,000651.SZ,叫板 格力 美的 要进 中国 白电前 三 惠而浦 艾小明 为何 如此 自信 
2018/7/25,000651.SZ,董明珠 年 如果 不是 我 回来 格力 确实 有 灭顶之灾 
2018/7/25,000651.SZ,格力 获 中国 质量奖 与 之 相爱 相杀 的 美的 不 眼红 
2018/7/25,000651.SZ,今日 格力电器 股票行情 观点 持股 为宜 
2018/7/25,000651.SZ,推荐 评级 家电行业 动态 报告 二季度 基金 持仓 家电 占 比 环比 持平 
2018/7/25,000651.SZ,家电行业 专题 分析 报告 米家 互联网 空 调动 了 谁 的 蛋糕 
2018/7/26,000651.SZ,小米 入局 空调 格力 董 小姐 的 时代 结束 了 
2018/7/27,000651.SZ,格力 地产 再发 亿 债券 销售额 三年 腰斩 被 老 对手 美的 大幅 甩开 
2018/7/27,000651.SZ,优于 大 市 评级 家电行业 H 投资 策略 确定性 为 王 
2018/7/29,000651.SZ,长江 家电 三度 进军 空调 市场 小米 此次 是否 有所不同 
2018/7/30,000651.SZ,大佬 言论 董明珠 我 不 出来 做 网红 格力 就 会 就 被 收购 
2018/7/31,000651.SZ,格力电器 加码 自主 创新 两 院士 工作站 同日 揭牌 
2018/7/31,000651.SZ,格力 手机 开机 画面 是 董明珠 她 说出 理由 让 人 感动 
2018/7/31,000651.SZ,家电 及 相关 轻工 制造 行业 观点 聚焦 地产 周期 下 看 家电 家居 板块 投资 价值 
2018/7/31,000651.SZ,国内 各大 家电企业 智能 制造 发展 情况 一览 
2018/8/1,000651.SZ,格力 设立 两个 院士 工作站 要 从 多名 研发 人员 中 培养 名 院士 
2018/8/1,000651.SZ,格力 设俩 院士 工作站 董明珠 希望 培养 出出 个 院士 
2018/8/1,000651.SZ,格力 继续 领跑 中央空调 市场 综合 竞争 优势 明显 
2018/8/1,000651.SZ,董明珠 称 格力 亿 目标 不变 银隆 不会 收缩 投资 
2018/8/1,000651.SZ,董明珠 硬杠 雷军 格力 手机 正式 入网 搭载 骁龙 网友 笑 唱 凉凉 
2018/8/1,000651.SZ,领先 大市 A 评级 家电行业 深度 分析 在 空调 市场 小米 为何 不 做 价格 屠夫 
2018/8/1,000651.SZ,看好 评级 家电行业 周报 六月份 彩电 产销两旺 关注 中 报 业绩 超 预期 公司 
2018/8/2,000651.SZ,格力电器 对银隆 投资 是 董明珠 个人行为 公司 未 参与 
2018/8/2,000651.SZ,董明珠 格力 没 进 世界 强 不 等于 没 实力 
2018/8/2,000651.SZ,格力 突破 高性能 伺服电机 及 驱动器 技术 
2018/8/2,000651.SZ,格力电器 经销商 备货 意愿 积极 暂无 回购 股票 计划 
2018/8/2,000651.SZ,格力电器 公司 没有 对 珠海 银隆 进行 股权 投资 
2018/8/2,000651.SZ,格力电器 董明珠 对银隆 的 投资 行为 属 个人行为 
2018/8/3,000651.SZ,董明珠 的 格力 大跃进 今年 要 卖 亿 五年 后 亿 
2018/8/3,000651.SZ,董明珠 新 目标 格力电器 年 营收 
2018/8/3,000651.SZ,极 路由 凉凉 格力 要 培养 名 自己 的 院士 
2018/8/3,000651.SZ,海 立定 增 议案 遭否 中小 股东 摇旗呐喊 支持 格力 
2018/8/3,000651.SZ,格力电器 回应 南京 银隆 被 法院 查封 投资 银隆 是 董明珠 个人行为 其他 违规 处罚 
2018/8/3,000651.SZ,天风 家电 海 立定 增被 否 的 背后 是 什么 
2018/8/3,000651.SZ,上半年 家电业 马太效应 凸显 
2018/8/4,000651.SZ,格力空调 已 碰到 天花板 董明珠 我们 已 找到 新 的 增长点 
2018/8/4,000651.SZ,董明珠 造芯 背后 长虹 靠造 芯 改变命运 家电 巨头 纷纷 布局 芯片 研发 
2018/8/5,000651.SZ,年 营收 增倍 回归 狼性 董明珠 欲 一年 造 一个 格力 
2018/8/5,000651.SZ,雷军 董明珠 赌约 月 后 到期 小米 引入 格力 班底 暗中 谋局 空调 业 
2018/8/5,000651.SZ,年 格力 营收要 做到 亿 这 是 董明珠 的 大 目标 
2018/8/6,000651.SZ,十亿 赌局 进入 倒计时 雷军 把 胜算 压 在 了 格力 最强 的 空调 领域 
2018/8/6,000651.SZ,格力电器 董明珠 基于 菁英 与 研发 今年 销售额 是 冲击 亿 
2018/8/6,000651.SZ,格力 将 投资 亿 研究 芯片 阿里巴巴 研制 出 芯片 太章 
2018/8/6,000651.SZ,格力 美的 诉讼 战 正酣 两 大佬 坚决 不 妥协 
2018/8/7,000651.SZ,寒冬 频吹 但 海信 美的 索尼 格力 等 家电 厂商 的 好日子 正在 到来 
2018/8/7,000651.SZ,家用电器 行业 周报 月 家电行业 压力 较大 
2018/8/8,000651.SZ,家用电器 家电 基本面 依旧 良好 荐 股 
2018/8/9,000651.SZ,董明珠 依靠 什么 带领 格力电器 实现 亿 目标 
2018/8/9,000651.SZ,苏宁 家电 悟空 榜 创维 海信 争 第一 奥克斯 打破 三足鼎立 
2018/8/9,000651.SZ,浙商 家电 空调 行业 专题报告 从 奥克斯 的 崛起 看 渠道 变革 及 市场 机会 
2018/8/10,000651.SZ,家电行业 辉煌 的 历史 能否 重现 
2018/8/10,000651.SZ,家电 周报 月 零售 数据 下滑 过度 恐慌 龙头 业绩 增长 确定性 依旧 
2018/8/12,000651.SZ,家用电器 格力 未来 成长 空间 依然 较大 荐 股 
2018/8/12,000651.SZ,董明珠 说 格力 没 进 世界 强 不 等于 没 实力 你 同意 吗 
2018/8/12,000651.SZ,国君 家电 终端 销售 好转 看好 空调 长期 空间 W 周 观点 
2018/8/12,000651.SZ,天风 家电 汇率 企稳 天猫 七月 增速 放缓 W 周 观点 
2018/8/12,000651.SZ,家电行业 出口 专题 广场 协议 对 日本 家电行业 影响 的 回顾 剖析 与 思考 
